Date,Operator,Aboard,Fatalities
01/24/1950,Societe Transatlantique Aerienne,14,14
01/24/1950,Philippine Air Lines,4,4
02/02/1950,KLM Royal Dutch Airlines,7,7
02/27/1950,Ceskoslovenske Aerolinie,5,5
03/07/1950,Northwest Orient Airlines,13,13
03/10/1950,Societe Indochinoise de Transport Aeriens,4,4
03/12/1950,Fairflight Ltd.,83,80
03/25/1950,Devlet Hava Yollairi,15,15
03/28/1950,SEMAF,12,12
04/05/1950,Deccan Airways,3,3
04/15/1950,Lineas Aéreas Nacionales,25,25
05/02/1950,AVIANCA,15,15
05/27/1950,Regina Cargo Airlines,2,1
05/30/1950,Aerovias Brasil,15,13
06/05/1950,Westair Transport,65,28
06/09/1950,New Tribes Mission,15,15
06/12/1950,Air France,52,46
06/14/1950,Air France,53,40
06/23/1950,Northwest Orient Airlines,58,58
06/26/1950,Ansett ANA,29,29
07/09/1950,Aigle Azur,29,22
07/17/1950,Indian National Airlines,22,22
07/18/1950,DTA Angola Airlines,9,9
07/28/1950,Panair do Brasil,50,50
07/29/1950,Cie Air Transport,26,26
08/31/1950,Trans World Airlines,55,55
09/04/1950,Robinson Airlines,23,16
09/14/1950,Iran Air,8,8
09/21/1950,JAT Yugoslav Airlines,11,10
09/23/1950,Svenska Aero,10,10
10/13/1950,Air Atlas,7,4
10/13/1950,Northwest Orient Airlines,6,6
10/17/1950,British European Airways,29,28
10/31/1950,British European Airways,30,28
11/03/1950,Air India,48,48
11/06/1950,Northwest Orient Airlines,21,21
11/13/1950,Curtiss-Reid Flying Services Ltd. (Canada),52,52
11/17/1950,Garuda Indonesia Airlines,23,2
11/21/1950,New Tribes Mission,21,21
11/23/1950,Faucett,9,9
11/25/1950,Indamer,3,3
12/01/1950,Iran Air,8,8
12/08/1950,Air Atlas,7,5
12/08/1950,T.A. Intercontinentaux,56,46
12/13/1950,Air India,21,21
12/13/1950,VASP,9,9
12/15/1950,Avensa,31,31
12/22/1950,Canadian PacifiAir Lines,18,2
12/30/1950,Aerolineas Argentinas,18,17
01/12/1951,United Airways,12,12
01/13/1951,Air Carriers,10,10
01/14/1951,National Airlines,28,7
01/16/1951,Northwest Orient Airlines,10,10
01/17/1951,Alitalia,17,14
01/31/1951,Icelandair,20,20
02/03/1951,Air France,29,29
02/14/1951,Lineas Aéreas Nacionales,2,2
03/02/1951,Mid Continent Airlines,25,16
03/11/1951,PacifiOverseas Airways,24,24
03/21/1951,LANSA,27,27
03/22/1951,Cruzeiro,14,3
03/26/1951,Aerolineas Argentinas,20,11
04/02/1951,AVIANCA,26,26
04/06/1951,Southwest Airways,22,22
04/09/1951,Siamese Airways,16,16
04/28/1951,United Air Lines,11,11
05/08/1951,Hunting Air Travel,32,2
05/18/1951,VASP,6,6
06/06/1951,Lineas Aéreas Trans. Brasileira,19,2
06/15/1951,Sociedad Aeronautica Medellin,3,3
06/22/1951,Pan American World Airways,40,40
06/29/1951,JAT Yugoslav Airlines,14,14
06/30/1951,United Air Lines,50,50
07/12/1951,Indamer,3,3
07/12/1951,Loide Aereo Nacional,33,33
07/16/1951,Qantas,7,7
